fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-07-05 04:45:00,"ORIENTE 2","TORREON MATAMOROS FTE AL MANTO DE LA VIRGEN","SOL DEL OTE",,"VOLCADURA","EXCESO DE VELOCIDAD",0,0,0
2015-07-05 10:30:00,"CENTRO 4TO CUADRO","BLVD. EL TAJITO Y PERIFERICO","NUEVA LAGUNA NTE",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-05 13:50:00,"ORIENTE 1","CALZ. ABASTOS Y BLVD. DIAGONAL REFORMA","ABASTOS","EL RESPONSABLE SE DIO A LA HUIDA Y AL AFECTADO LO TRASLADARON A  24´S, NO HAY DATOS DEL MISMO","ATROPELLADO CICLISTA","EXCESO DE VELOCIDAD",1,0,1
2015-07-05 15:30:00,"ORIENTE 1","CALZ. EMILIO CARRANZA Y CALLE NICARAGUA","SALVADOR ALLENDE","RESPONSABLE SE DIO A LA HUIDA","CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-05 16:15:00,"CENTRO 2DO CUADRO","BLVD. INDEPENDENCIA Y CALLE 12","CENTRO","RESPONSABLE SE DIO A LA HUIDA","CHOQUE","CORTE CIRCULACION",0,0,0
2015-07-05 17:50:00,"CENTRO 1ER CUADRO","BLVD. INDEPENDENCIA Y CALLE VALDEZ CARRILLO","CENTRO",,"CHOQUE","CORTE CIRCULACION",1,0,0
2015-07-05 18:30:00,"CENTRO 3ER CUADRO","AV. CORREGIDORA Y CALLE 24 "," CENTRO","RESPONSABLE SE DIO A LA HUIDA","CHOQUE","EXCESO DE VELOCIDAD",0,0,2
2015-07-05 19:00:00,"SUR 2","BLVD. DIAGONAL DE LAS FUENTES Y CALLE DE TORREON A LERDO","RINCON LA MERCED","RESPONSABLE SE DIO A LA HUIDA, NO PASAN MAS DATOS","CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-05 19:50:00,"CENTRO 4TO CUADRO","PERIFERICO A LA ALTURA DE LA PUERTA AMARILLA","LEANDRO ROVIROSA WADE",,"CHOQUE","EBRIEDAD",0,0,2
2015-07-05 20:00:00,"CENTRO 4TO CUADRO","BLVD. INDEPENDENCIA Y CALLE COBIAN","NUEVA LOS ANGELES",,"CHOQUE","CORTE CIRCULACION",2,0,2
2015-07-05 21:30:00,"CENTRO 2DO CUADRO","AV. PRESIDENTE CARRANZA Y CALLE COMONFORT","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-05 22:00:00,"SUR 2","BLVD. DIAGONAL DE LAS FUENTES Y AV. DEL BOSQUE","VILLAS LA MERCED",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-05 22:10:00,"ORIENTE 1","CALZ. FRANCISCO SARABIA Y CALLE BRASIL","AVIACION","CONDUCTOR DE LA MOTO, RESULTO MUERTA","CHOQUE","EXCESO DE VELOCIDAD",0,1,2
2015-07-06 00:00:00,"SUR 2","PASEO DEL TECNOLOGICO AFUERA DE AURRERA ","MONTE REAL",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-06 01:10:00,"SUR 2","VENEZUELA Y CALZ. MEXICO","LATINOAMERICANO",,"CHOQUE","PERDIDA CONTROL",0,0,2
2015-07-06 01:30:00,"ORIENTE 2","PERIFERICO Y CARRETERA A SANTA FE","EJIDO SAN LUISITO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-06 07:28:00,"ORIENTE 2","CARRETERA SANTA FE FRENTE FRACC. LA NORIA","LA NORIA","MENOR ATROPELLADA DE 9 AÑOS","ATROPELLADO PEATON","EXCESO DE VELOCIDAD",1,0,1
2015-07-06 08:25:00,"ORIENTE 1","AV. JUAREZ Y BLVD. FRANCISCO SARABIA","LAS TORRES","SOLO RESBALO","CAIDA DE PERSONAS","PERDIDA CONTROL",1,0,1
2015-07-06 09:02:00,"CENTRO 3ER CUADRO","CALZ. CUAUHTEMOC Y BLVD. DIAGONAL REFORMA","CENTRO","DATOS POR WISKI BRAVO FENIX","CHOQUE","CORTE CIRCULACION",1,0,0
2015-07-06 11:32:00,"CENTRO 1ER CUADRO","AV. MORELOS Y CALLE LEONA VICARIO","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-06 12:25:00,"SUR 2","PASEO DEL TEC. Y BLVD. RODRIGUEZ TRIANA","SANTA ANITA",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-06 14:36:00,"CENTRO 2DO CUADRO","AV. PRESIDENTE CARRANZA Y CALLE COMONFORT","CENTRO","LESIONADOS: ****** DE ** AÑOS, ****** DE ** AÑOS, ****** DE ** AÑOS, QUEDANDO AMBOS INTERNADOS EN LA CLINICA 18","CHOQUE","NO RESPETAR SEÑAL ALTO",4,0,2
2015-07-06 14:50:00,"SUR 2","BLVD. MEXICO Y LOCUTORES","LOS PERIODISTAS","RESPONSABLE HUYO DEL LUGAR","CHOQUE","EXCESO DE VELOCIDAD",1,0,2
2015-07-06 15:30:00,"SUR 2","PAVORREAL Y CALZ. SALTILLO 400","RINCON LA ROSITA",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-06 15:45:00,"ORIENTE 1","CALZ. CUITLAHUAC Y CALZ. RAMON MENDEZ","MOCTEZUMA",,"CHOQUE","REVERSA",0,0,2
2015-07-06 16:30:00,"SUR 1","PASEO DE LA COLINA Y PASEO DEL CAMPESTRE","CAMPESTRE LA ROSITA",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-06 17:10:00,"ORIENTE 2","AV. BROMO Y CALZ. DE LA JOYA","SOL DEL OTE","NUNCA LLEGO PERITOS, LOS PARTICIPANTES SE PUSIERON DE ACUERDO Y SE RETIRARON","CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-06 20:50:00,"CENTRO 3ER CUADRO","CALZ. CUAUHTEMOC Y AV. VICTORIA","CENTRO",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-07 00:37:00,"CENTRO 2DO CUADRO","AV. ALVAREZ Y CALLE 12","CENTRO",,"CHOQUE","NO RESPETAR DISTANCIA",1,0,2
2015-07-07 07:49:00,"CENTRO 4TO CUADRO","BLVD. CONSTITUCION NUDO MIXTECO","SAN LUCIANO",,"CHOQUE","REVERSA",0,0,2
2015-07-07 08:02:00,"SUR 2","CARRETERA MIELERAS Y CALLE METAL MECANICA","ZONA INDUSTRIAL ORIENTE","35958 POR LO REGULAR DICE Q OMITEN DATOS, SE RETIRA DEL LUGAR NO ESPERA POLICIA ESTATAL","CARAMBOLA","NO RESPETAR DISTANCIA",0,0,3
2015-07-07 08:27:00,"ORIENTE 2","PERIFERICO FRENTE BODEGA AURRERA","EL SECRETO","83 SE LA SAFO EL REMOLQUE ","CHOQUE","PERDIDA CONTROL",0,0,2
2015-07-07 08:42:00,"CENTRO 1ER CUADRO","AV. MATAMOROS Y CALLE RODRIGUEZ","CENTRO","LESIONADO DE NOMBRE: ****** ** AÑOS","VOLCADURA","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-07 09:46:00,"ORIENTE 1","CALZ. CUITLAHUAC Y CALLE VICENTE SUAREZ","ABASTOS","PASA MAS DATOS POR WISKI ******","CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-07 12:47:00,"ORIENTE 2","CARRETERA TORREON MATAMOROS FRENTE AL MANTO DE LA VIRGEN","SOL DE ORIENTE","INVOLUCRADOS SE ARREGLAN, RETIRANDOSE DEL LUGAR","CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-07 12:59:00,"CENTRO 3ER CUADRO","BLVD. REVOLUCION Y CALLE 27","CENTRO",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-07 14:10:00,"SUR 2","BLVD. REVOLUCION Y BLVD. RODRIGUEZ TRIANA","JUMBO",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-07 14:15:00,"CENTRO 1ER CUADRO","AV. OCAMPO Y CALLE LEONA VICARIO","CENTRO",,"VOLCADURA","SEMAFORO",0,0,2
2015-07-07 14:34:00,"SUR 2","CALLE NICARAGUA Y CALLE MANAGUA","LATINOAMERICANO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-07 14:46:00,"CENTRO 4TO CUADRO","BLVD. INDEPENDENCIA Y CALLE ZACATECAS","SAN ISIDRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-07 18:17:00,"CENTRO 3ER CUADRO","BLVD. DIAGONAL REFORMA Y AV. ALDAMA","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-07 19:28:00,"CENTRO 3ER CUADRO","AV. JUAREZ Y CALLE 28","CENTRO","DATOS POR ******, POR ESO NO HAY DATOS DE VEHICULOS","CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-08 07:10:00,"CENTRO 4TO CUADRO","CARRETERA TORREON SAN PEDRO A LA ALTURA DEL COLEGIO SAN LUIS","VILLA FLORIDA","RESPONSABLE HUYO DEL LUGAR DEJANDO DOS LESIONADOS DE LA MOTO ****** Y ******","CHOQUE","CORTE CIRCULACION",2,0,2
2015-07-08 07:49:00,"ORIENTE 1","CALZ. AVILA CAMACHO Y CALZ. RAMON MENDEZ","CAROLINAS",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-08 08:50:00,"SUR 2","PASEO DEL TECNOLOGICO Y CALLE GEMA","RESIDENCIAL DEL NORTE","SIN LESIONES EL CICLISTA CADA QUIEN CUBRE SUS DAÑOS, NO PASA MAS DATOS","ATROPELLADO CICLISTA","SENTIDO CONTRARIO",0,0,2
2015-07-08 09:13:00,"ORIENTE 1","AV. JUAREZ Y CALLE TORRE DEL SOL","LAS TORRES","22 LOS DEJA DEBIDAMENTE ESTACIONADOS Y SE RETIRA DEL LUGAR","CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-08 11:01:00,"CENTRO 3ER CUADRO","BLVD. DIAGONAL REFORMA Y AV. ZACATECAS","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
